Source,Target,Weight,Type
43207,46675-0,3,undirected
James, Henry_Within the Rim, and Other Essays, 1914-15,Twain, Mark_Life on the Mississippi, Part 6.,1,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 3.,Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,5,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 3.,Twain, Mark_Life on the Mississippi, Part 2.,1,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 3.,Twain, Mark_Roughing It, Part 7.,1,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 3.,Twain, Mark_The Adventures of Tom Sawyer, Part 4.,2,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 3.,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,2,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 3.,5,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,Twain, Mark_A Tramp Abroad - Volume 03,1,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,1,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,Twain, Mark_The Adventures of Tom Sawyer, Part 8.,3,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,3,undirected
Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,Twain, Mark_The Prince and the Pauper, Part 7.,1,undirected
Twain, Mark_A Double Barrelled Detective Story,Twain, Mark_Alonzo Fitz, and Other Stories,3,undirected
Twain, Mark_A Double Barrelled Detective Story,Twain, Mark_Sketches New and Old, Part 1.,1,undirected
Twain, Mark_A Double Barrelled Detective Story,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,2,undirected
Twain, Mark_A Tramp Abroad - Volume 03,5812,4,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,1,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_A Tramp Abroad - Volume 07,4,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_Alonzo Fitz, and Other Stories,1,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_Life on the Mississippi, Part 10.,3,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_Life on the Mississippi, Part 6.,3,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_Quotations from the Project Gutenberg Editions of the Works of Mark Twain,1,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_Roughing It, Part 3.,1,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_Roughing It, Part 7.,3,undirected
Twain, Mark_A Tramp Abroad - Volume 03,Twain, Mark_The Innocents Abroad - Volume 01,2,undirected
Twain, Mark_A Tramp Abroad - Volume 07,5808,2,undirected
Twain, Mark_A Tramp Abroad - Volume 07,5812,5,undirected
Twain, Mark_A Tramp Abroad - Volume 07,Twain, Mark_A Tramp Abroad - Volume 03,4,undirected
Twain, Mark_A Tramp Abroad - Volume 07,Twain, Mark_Mark Twain's Letters - Volume 4 (1886-1900),1,undirected
Twain, Mark_Adventures of Huckleberry Finn, Chapters 01 to 05,Twain, Mark_Adventures of Huckleberry Finn, Chapters 21 to 25,4,undirected
Twain, Mark_Adventures of Huckleberry Finn, Chapters 01 to 05,Twain, Mark_Adventures of Huckleberry Finn,5,undirected
Twain, Mark_Adventures of Huckleberry Finn, Chapters 01 to 05,Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,1,undirected
Twain, Mark_Adventures of Huckleberry Finn, Chapters 21 to 25,Twain, Mark_Adventures of Huckleberry Finn, Chapters 01 to 05,4,undirected
Twain, Mark_Adventures of Huckleberry Finn, Chapters 21 to 25,Twain, Mark_Adventures of Huckleberry Finn,6,undirected
Twain, Mark_Adventures of Huckleberry Finn, Chapters 21 to 25,Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,1,undirected
Twain, Mark_Adventures of Huckleberry Finn,Twain, Mark_Adventures of Huckleberry Finn, Chapters 01 to 05,5,undirected
Twain, Mark_Adventures of Huckleberry Finn,Twain, Mark_Adventures of Huckleberry Finn, Chapters 21 to 25,6,undirected
Twain, Mark_Adventures of Huckleberry Finn,Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,1,undirected
Twain, Mark_Alonzo Fitz, and Other Stories,Dickens, Charles_Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series,1,undirected
Twain, Mark_Alonzo Fitz, and Other Stories,Twain, Mark_A Double Barrelled Detective Story,3,undirected
Twain, Mark_Alonzo Fitz, and Other Stories,Twain, Mark_A Tramp Abroad - Volume 03,1,undirected
Twain, Mark_Alonzo Fitz, and Other Stories,Twain, Mark_Mark Twain's Speeches,1,undirected
Twain, Mark_Alonzo Fitz, and Other Stories,Twain, Mark_Sketches New and Old, Part 5.,4,undirected
Twain, Mark_Alonzo Fitz, and Other Stories,Twain, Mark_The Adventures of Tom Sawyer, Part 8.,2,undirected
Twain, Mark_Alonzo Fitz, and Other Stories,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,5,undirected
Twain, Mark_Editorial Wild Oats,807-0,1,undirected
Twain, Mark_Editorial Wild Oats,Dickens, Charles_The Lamplighter,3,undirected
Twain, Mark_Editorial Wild Oats,Twain, Mark_Roughing It, Part 7.,2,undirected
Twain, Mark_Editorial Wild Oats,Twain, Mark_Sketches New and Old, Part 5.,6,undirected
Twain, Mark_Editorial Wild Oats,Twain, Mark_The Curious Republic of Gondour, and Other Whimsical Sketches,2,undirected
Twain, Mark_Editorial Wild Oats,Twain, Mark_The Prince and the Pauper, Part 3.,3,undirected
Twain, Mark_Editorial Wild Oats,Twain, Mark_The Prince and the Pauper, Part 7.,3,undirected
Twain, Mark_Eve's Diary, Part 3,Twain, Mark_Extracts from Adam's Diary, translated from the original ms.,6,undirected
Twain, Mark_Eve's Diary, Part 3,Twain, Mark_Fenimore Cooper's Literary Offences,1,undirected
Twain, Mark_Eve's Diary, Part 3,Twain, Mark_On the Decay of the Art of Lying,3,undirected
Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 7.,1,undirected
